BPL.BLD.ID,X1.1,X1.2,X1.3,X1.4,X2.1,X2.2,X2.3,X2.4,X2.5,X3.1,X3.2,X3.3,X3.4,X3.5,X3.6,X3.7,X4.1,X4.2,X4.3,X4.5,X4.6,X4.7,X4.8,X5.1,X5.2,X5.3,X5.4,X5.5,X5.6,X6.1,X6.2,X6.3,X7.1,X7.2,X7.3,X7.4,X8.1,X8.2,X8.3,X8.4,X8.5
1174,NA,0,0,0,0,0,0.5,NA,1,0.5,NA,0,NA,-1,0,0,1,0,NA,NA,0,NA,-1,0,0.4,0,0.25,NA,-1,NA,NA,0,0,-0.75,-1,0,0,NA,0,0,0
1175,0,0,0,1,0,0,0.25,0,0,0,0,0,1,1,0,0,-0.6,-0.4,-0.2,0,0.4,0,0,0,0,0,0,0,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1176,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,0,0,NA,NA,NA,NA,0.4,0,0.6,NA,0,NA,NA,NA,NA,-1,-1,NA,-0.8,0,0,0,NA,NA,NA,NA,NA
1183,0,0,0,0,0,0,0.25,0,0,-0.75,0,0.2,0,0.2,0,0,0,-0.2,0,-0.4,0,0,0.4,-0.2,0,0.2,NA,NA,NA,-0.25,-0.25,NA,1,0,0.5,0,NA,NA,NA,NA,NA
1187,0,-0.25,0,0,1,0,-1,0,0,-0.5,NA,0,NA,0,-0.25,NA,-0.8,NA,NA,NA,-0.4,0.6,0,0,0,0.2,NA,NA,0,-1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1188,-0.25,-0.25,0,0,0,0,0.5,0,0,0,1,0,-1,0,0,0,-1,0.2,-0.4,-0.4,0,0.6,0.6,0,0,0,0.5,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA
1189,0,0,0,0,0,0,0,1,0.5,1,1,0,0,0,-0.5,0,0,0,-1,0,0,0,NA,0,0,0,-1,0,-0.5,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA
1192,0,0,0,0,-1,0,0,0,0,0,NA,0,1,0,0,0,0,-0.4,-1,NA,-0.4,-0.2,0,0,0,0,NA,NA,NA,0,0,0,0,NA,-1,0,0,0,-0.25,-0.25,0
1195,0,0,0,0,0,0,0.5,0,NA,0,0,0,0,0,0.5,0,NA,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA
1198,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,NA,NA,NA,NA,NA
1199,0,0,0,0,NA,1,1,0,1,0,0,0,0,0,0,0,NA,0,0,0,-0.4,0.6,0.2,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
1203,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,-0.6,0.4,0,0,0.4,0,0.4,0,0,0,0.25,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA
1204,0,0,0,0,0,0.333333333,NA,NA,NA,0,0,0,0,1,0,0,0,0.6,1,0.6,0.4,1,0,0,0,0,NA,NA,NA,0,-1,0,0,0,1,0,NA,NA,NA,NA,NA
1206,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.25,0,NA,0.2,1,0,0,1,-0.2,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,-1
1214,0,0,0,0,1,0.333333333,NA,NA,NA,0.5,0.5,0,1,0,0.5,0,NA,0.6,0.6,-0.4,-0.4,-0.4,-0.4,0,0,0,NA,NA,NA,1,1,-0.6,1,1,0.25,0,1,1,1,0,0
1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,-0.4,0.6,-0.4,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
1218,0,0,0,0,0,0,-0.25,NA,NA,0,1,-0.2,0.8,0,0,0,1,NA,0.2,NA,0,0.2,0.4,0,-0.2,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
1220,-0.25,-0.25,0,0,1,0,0,0,1,0,-0.25,0,-1,0,0.25,0,0,0,-0.2,-0.4,0,0,0,0,0,0,0,NA,0,0,-1,0,-0.2,0.75,0,0,0.6,0.6,0.75,0.75,0.75
1221,0,0,0,0,0,0,NA,NA,0.5,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,-0.4,-0.4,0.2,0,0,0,NA,NA,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA
1224,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0.2,0.2,0,0,0
1226,0,0,0,0,0,0,-0.5,-0.5,0,NA,NA,0,-1,0,0,0,0.6,0,-1,0,NA,-1,0,0.2,0,0,-1,-1,NA,0,-0.5,-0.6,0,0,0,0,NA,NA,NA,NA,NA
1227,0,0,0,0,0,0,-0.25,0,0,0,0,0,NA,-1,1,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-1,-1,0,0,1,0.25,0,0,0,0,NA,0
1228,0,0,0,1,0,0,NA,NA,NA,0.25,0.5,0,NA,NA,0,0,NA,NA,NA,NA,0.2,0.2,-0.2,0,-0.6,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
1235,0,0,0,0,NA,0,0.75,NA,1,0,NA,0,1,0,0,0,-0.6,0.6,1,0.6,0.6,NA,0.6,0,0,0.6,NA,NA,1,NA,0,NA,NA,NA,NA,0,1,NA,1,1,NA
1237,0,0,0,0,0.666666667,0,0.5,0.5,0.5,0,0,0,0,0,0.75,0,0.8,1,1,1,0.6,0.6,0.6,0,0,0,NA,NA,NA,0,1,0,1,1,0.75,0,0,0,NA,0.75,0.75
1238,0,0,0,0,0,0,0.5,NA,0,0.25,-0.5,0,-1,0,0.25,0,NA,NA,NA,NA,0.4,0.4,NA,0,0,NA,0,0,NA,0,NA,-0.6,NA,NA,NA,0,0,NA,NA,NA,NA
1240,0,0,0,-1,0,0,0.75,0,0.5,0,0,0,0,0.6,0,0,-1,0,-1,0,0,-1,0,0,0,0,-0.75,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0
1241,0,0,0,0,NA,0,0,NA,0,NA,NA,0,-0.8,NA,-0.25,0,NA,NA,NA,NA,0.6,0,0.4,0,0,0,NA,0,0.5,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA
1246,0,0,0,0,0,0,NA,NA,NA,0.5,0.5,0,0,0,0.5,NA,0.4,0,0,-0.4,-0.6,-0.6,-0.2,0,0,0,NA,NA,NA,1,1,-0.4,0,1,1,0,0,1,1,1,0
1247,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-0.6,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,-1,-1,0,NA,NA,NA,NA,NA
1250,0,0,NA,NA,1,0,NA,NA,0,NA,NA,0,NA,0.6,0,0,NA,NA,NA,NA,0.6,NA,NA,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1254,0,0,0,0,0,0,1,1,0,NA,NA,0,-0.4,0,-0.5,0,0,0.2,0,1,NA,NA,NA,0.4,0,0,NA,NA,NA,0,0,1,NA,1,0,0,NA,NA,NA,NA,NA
1256,0,0,0,0,0,0,-0.25,0,0,0.25,0,0.2,0,0.2,0.5,0,0,-0.2,-0.4,0.2,0,-0.4,0.2,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,1
1259,0,0,0,1,-0.333333333,-0.333333333,0,0.5,0,0,-0.5,0,0,0,0,0,0.6,NA,1,NA,0.2,1,0,0,0,0,NA,1,0,0,0,0,0,0.5,0,0,NA,NA,NA,NA,NA
1263,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,-0.8,-1,0,-1,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0.2,0,0,0,0
1265,0,0,0,0,-1,0,1,0,-0.5,NA,0,0,0,0,-0.5,0,NA,NA,0,-0.8,-0.4,1,-0.8,0,0,-0.6,NA,NA,NA,1,0,NA,0,0,0.25,0,0,0,0.5,NA,1
1266,-0.25,0,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,-0.25,0,0,0.2,1,0,-0.2,1,0.2,0,0,0,NA,NA,NA,1,0,0,-0.2,1,0,0,0,0,0,1,0
1269,0.25,0,0,0,NA,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA
1271,0,0,0,0,NA,NA,0,NA,NA,0,-1,0,NA,0,0,0,NA,0,0,0,-0.2,0,-0.2,0,0,0,0,-1,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
1276,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1278,0,0,0,0,1,-1,NA,NA,NA,0,0,0,0,0,-0.5,0,0,0,1,-1,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,-1,-1,1,0,NA,0
1279,0,0,0,0,0,0,0,1,-0.5,0,1,0,0,NA,-0.5,0,0,-0.2,0,-0.2,0,0,0,0,0,0,NA,NA,NA,-0.5,-0.25,0,0,NA,NA,0,NA,NA,NA,NA,NA
1282,-0.5,-0.5,0,0,NA,-0.333333333,-0.5,0.5,0,0,0,0,1,0,-0.25,0,0.4,NA,NA,NA,0,NA,NA,-0.6,-0.6,-0.6,NA,NA,NA,NA,NA,-0.6,0.4,0.5,NA,NA,1,1,NA,-1,0
1285,0,0,0,0,1,0,-0.5,-1,0,-0.5,0.75,0,0,0,0,0,0,0,1,0.6,0,1,0,0,0,1,NA,NA,NA,-1,-0.75,0,-0.2,0,0,0,NA,NA,NA,NA,NA
1286,0,-0.25,0,0,0,NA,0.5,0,-1,-0.5,0,0,0,0,-0.25,0,NA,0,0,-1,-0.4,0,0.4,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
1287,0,0,0,0,1,0,NA,NA,0,NA,NA,0,0,0,0,0,NA,-0.4,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA
1289,0,0,0,0,0,0,-0.5,0,0,-0.5,0,0,0,NA,-0.5,0,1,NA,0,-1,0,0.4,0,0,0.2,0,NA,NA,NA,0,1,0,0.4,-0.75,-0.5,0,0.4,0,-0.5,-0.5,0.5
1293,0,-1,0,0,0,0,NA,NA,NA,0,1,1,NA,0.4,0.5,0,NA,1,1,0,0.6,1,-0.4,0,0,0,NA,NA,NA,0,NA,NA,1,0,0,NA,0,0,0,0,0
1297,0,0,0,0,0,0,0,0.5,0,-0.25,0,0,0,0,-0.5,0,NA,-0.6,1,0.2,-0.2,0.6,0.2,0,0,0.2,0,1,0,0,-1,0,0,0,0,0,NA,NA,NA,NA,NA
1299,0,0,0,-1,NA,0,-0.5,0.5,0,-0.5,0,0,0,0,-0.5,0,1,0,0,0,-0.4,0,-0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
1300,0,0,0,0,NA,0,0.5,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,NA,NA,NA,NA,NA
1304,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0,0.2,0.75,0,NA,1,0,0.2,0.2,0.6,0.2,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0.75,0
1310,0,0.25,0,0,0,0,0,0,0,NA,-0.5,0,0,0.6,0,0,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,-1,-1,0,-1,NA,NA,0,NA,NA,NA,NA,NA
1312,0,0,0,0,NA,NA,-0.25,NA,NA,0.5,NA,0,NA,0,0,0,0.2,0,0,NA,0,0,0.4,0,0,NA,NA,0,0,NA,NA,0.6,0,NA,NA,0,-0.4,NA,NA,NA,NA
1313,NA,NA,0,NA,NA,NA,NA,NA,NA,0.25,NA,0,0,0,-0.5,0,NA,NA,NA,-0.4,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0
1314,NA,NA,0,0.6,NA,NA,NA,NA,NA,0,0.5,0,-0.6,-1,0,0,-1,0,0.6,-0.2,0,0.6,0,NA,NA,NA,0,0.6,0,NA,NA,NA,NA,NA,NA,NA,0,0.6,0.5,0.5,0
1316,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0,-0.5,0,NA,0,0,NA,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA
1318,-0.5,0,0,0,0,0,-1,0,0,0.5,0,0,0,0,-0.25,0,NA,NA,0,NA,0.4,0,NA,0,0,NA,NA,NA,NA,0,0,0,-1,0,0,0,NA,NA,NA,NA,NA
1320,0.25,0.25,0,NA,0,0,-0.75,NA,-1,NA,NA,0,NA,-0.6,NA,NA,0,0,NA,NA,0,0,-0.6,0,0,0,NA,0.6,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA
1321,0,0,0,0,-1,0,0,0,0,0.5,-0.5,0,0,1,0.25,0,-0.2,0.6,0.6,0,0,0,-0.6,0,0,0,1,NA,NA,0,0,0,0,0,1,0,-0.2,-1,0.5,-1,-0.5
1322,0,-0.25,0,0,NA,0,NA,-1,-1,NA,NA,0,NA,0,0,NA,NA,-0.2,-0.2,0,-0.2,-0.4,0,0,0,-0.2,0,-0.2,1,0,-0.25,-0.2,-0.2,-0.25,NA,0,-0.2,-1,-0.75,-0.75,NA
1323,0,0,0,0,0,0,0,-0.5,0,NA,0.5,0,0,0.8,0.5,NA,NA,0,0,-0.6,0.4,0,-1,0,0,0,0.5,NA,-1,0.75,0,0,0,0,0,0,1,0,0,0,0
1324,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1325,0,-0.25,0,0,0,0,0,-0.5,0,-0.25,-1,0,1,0,-1,0,NA,0.4,0,0,0,0,0,0,0.2,1,NA,-0.4,1,1,-1,0,0,0,0,NA,0,0,0,-1,-1
1327,0.25,0.25,0,0,0,0,0,0.5,-0.5,-0.5,0,0,0,0,0,0,0.4,0,0,0,0,1,-1,0,0,0,NA,NA,NA,0,0,0,0,0,-1,0,NA,NA,NA,NA,NA
1328,0,0.25,0,0,1,0,0,0,-1,NA,NA,0,NA,1,0,NA,0,0,-1,1,0,-0.4,0.6,0,0,0,NA,NA,NA,0,0,0,0,0,NA,0,-1,0,NA,NA,NA
1329,0,0,0,0,0,0,1,1,0.5,0,0.5,0,0,1,0.5,0,1,1,1,1,0.6,0,0.6,0,0,0,NA,NA,NA,0,0,0,0,0,0.25,0,0,0,1,1,1
1330,0,0,0,0,NA,0,0.25,-0.5,0,NA,NA,-1,-1,0,0.75,0,-1,-1,0,0,0,1,1,0,0,0,-1,0,NA,1,0,0,0,0,0,0,0,0,0.75,0,0
